author,qtd_livros,media_nota,desvio_nota,ano_medio,cluster
rick hautala,11,1.22,1.4,1992,3
robert mccrum,4,2.88,3.38,1989,1
schulz,11,2.64,3.26,1981,1
shaun hutson,29,2.87,2.68,1993,0
shelagh canning,4,0.63,1.25,1997,3
stephen edward seadler,3,8,1,2001,1
stephen scott,4,4.75,3.59,1991,1
susan squires,5,2.79,0.57,2002,3
susie shellenberger,3,3.33,5.77,1995,1
suzanne frank,12,2.2,2.6,2001,1
tanja kinkel,11,4.34,2.69,2000,1
teresa jordan,4,2.75,3.4,1991,1
vincent ravalec,4,2.8,1.9,1999,3
walker percy,30,3.48,2.92,1988,0
william jaspersohn,4,0,0,1990,3
william r. stanek,3,3.33,5.77,1997,1
william sutcliffe,8,3.58,2.37,2000,1
a. c. bhaktivedanta swami prabhupada,20,2.01,3.18,1986,3
adrienne basso,8,1.06,1.97,2000,3
ainsley harriott,6,8,1.1,2000,1
alexander trocchi,3,1.17,2.02,2000,3
alexander wolff,3,0,0,1994,3
andrew klavan,17,3.56,2.67,1997,1
angus,3,0,0,1983,3
ann justice,3,1.67,2.89,1993,3
annabel murray,12,0,0,1986,3
beatrice bruteau,3,4.83,5.01,1992,1
bernice kanner,3,6.14,4.35,1998,1
bill d. moyers,10,4.58,2.88,1994,1
bill sloan,3,2.58,2.27,1999,3
bobbie hinman,3,2.17,2.25,1990,3
bonnie gardner,6,3.38,4.18,2002,1
carol lea  benjamin,4,6.17,3.11,1994,1
charles jennings,4,2.67,2.36,1999,1
cheryl j. franklin,5,3.2,2.17,1990,3
chris rock,3,2.39,2.11,1998,3
christopher tilghman,3,2.83,2.47,1995,1
david e. meadows,3,2.17,3.75,2001,1
david hackett fischer,3,3.67,3.21,1996,1
david harrison,4,5,3.56,1993,1
david hays,3,1.86,2.17,1997,3
deborah turner harris,4,0.67,1.33,1991,3
derek tangye,9,3.33,4.24,1991,1
doreen rappaport,3,0,0,2000,3
dorothea benton frank,7,2.37,1.74,2003,3
ed brubaker,4,7.25,4.86,2003,1
frances e. vaughan,5,1,2.24,1989,3
georgina devon,3,0,0,1991,3
gerald petievich,5,1.54,2.2,1991,3
greg m. perry,4,2.25,2.87,1998,1
harriet jacobs,5,4.2,4.6,1995,1
herman wouk,34,2.27,2.5,1991,0
ian falconer,3,6.25,2.17,2001,1
india edghill,3,2.65,2.44,2001,1
jay m. shafritz,3,0,0,1995,3
jeremy leven,3,1,1.73,1988,3
jim kjelgaard,11,3.39,3.65,1984,1
joan borysenko,10,1.97,3.18,1996,1
john d'emilio,3,2.33,4.04,1995,1
john man,6,2.5,3.89,1997,1
john taylor,7,2.48,3.85,1993,1
jon buller,7,0.71,1.89,1993,3
joseph c. piscatella,4,0.88,1.75,1989,3
juanita coulson,6,1.67,2.88,1983,3
julius alvin,3,0,0,1989,3
ken dychtwald,3,4.83,4.48,1991,1
larry kane,3,3.92,4.61,1998,1
lewis perdue,9,3.13,4.12,1993,1
linda k. kerber,4,1.75,3.5,1997,1
lon poole,3,4.33,4.04,1982,1
m. r. d. meek,7,0,0,1990,3
maitena,7,6.79,3.44,2002,1
marc bloch,3,0,0,1988,3
matthew pearl,4,3.52,3.85,2004,1
michael dobbs,14,2.39,2.87,1997,1
michael j. fox,4,4.03,3.72,1999,1
michael wallner,3,1.69,1.9,2002,3
michael white,6,3.83,4.22,2001,1
mike ashley,12,1.54,3.1,1997,3
pauline nestor,3,5,0,1988,3
peter dickinson,38,1.34,2.58,1990,0
peter may,3,2.33,4.04,1996,1
peter robinson,36,3.09,2.78,1999,0
philip lief,3,4.11,3.75,1986,1
richard hammer,4,2.38,1.7,1989,3
richard thomas,8,2.5,3.63,1995,1
rita ciresi,9,3.34,2.1,2000,1
rob macgregor,12,1.03,1.18,1994,3
robert jordan,56,3.39,2.1,1996,0
sallie tisdale,4,1.63,3.25,1995,1
shakti gawain,24,2.34,2.95,1994,0
sharon o'connor,3,2.33,4.04,1991,1
stan jones,3,8.67,0.58,2002,1
steven paul martini,17,2.19,1.33,1996,3
sydney taylor,6,1.3,1.56,1993,3
thubten chodron,3,3.33,5.77,1998,1
tom bradby,4,2.66,2.54,2003,1
tony kushner,11,4.05,3.71,1995,1
tracy grant,5,3.48,3.44,2002,1
virginia kantra,8,1.69,1.71,2002,3
adam hochschild,5,5.59,2.55,1999,1
adobe creative team,11,5.65,3.78,1999,1
albert j. bernstein,4,2.75,3.2,1995,1
allan pease,11,4.64,2.14,1999,1
barbara erskine,11,3.15,1.41,1995,3
bernard evslin,8,3.35,2.98,1988,1
brian o'doherty,4,3.06,2.95,1997,1
caroline burnes,29,0.58,1.25,1997,3
cassie edwards,103,1.74,2.03,1996,0
connie bruck,3,1.56,2.69,1993,3
dale pollock,3,5.17,1.76,1989,1
daniel yergin,3,3.33,4.16,1995,1
darrell baker,7,0.95,1.89,1990,3
deborah eisenberg,3,1.67,2.89,1996,3
dennis mcdougal,6,0.97,1.2,1995,3
dick mccue,4,3.25,3.95,1989,1
dolores johnson,8,1.99,2.04,2000,3
douglas glover,3,2.2,1.93,1995,3
e. m forster,5,2.8,3.69,1983,1
elizabeth linington,3,6.67,1.15,1980,1
ellen schecter,4,4.5,5.26,1995,1
eric neilson,3,1,1.73,1984,3
eve arnold,3,5.5,5.07,1986,1
francisco de quevedo,4,2.15,3.32,1993,1
frank coffey,7,3.33,3.29,1993,1
george f. will,9,2.57,2.87,1992,1
gladys mitchell,3,0,0,1981,3
h. winter griffith,6,1.67,4.08,1993,1
hakan nesser,11,5.54,2.5,2001,1
james l. nelson,4,2.5,5,2000,1
janet woititz,4,3.5,3.34,1990,1
jasmine cresswell,34,1.61,1.95,1997,0
jennifer darling,4,2.5,5,1998,1
jerome agel,4,4.88,4.48,1987,1
juan josã© millã¡s garcã­a,3,3.33,3.51,1994,1
julie miller,11,2.17,2.4,2002,3
julio cortazar,33,4.73,3.75,1994,0
justin richards,4,1.5,3,1999,3
k. c. mckinnon,4,1.58,1.56,1999,3
karen sandler,6,3.53,3.76,2002,1
karyn monk,7,1.57,1.51,2000,3
kenneth radu,3,2.33,4.04,2001,1
langenscheidt staff,10,1.95,2.57,1992,3
leanna wilson,5,0.74,1.11,2001,3
linda hetzer,3,3.67,4.04,1984,1
lois h. gresh,3,3.83,3.55,2000,1
marianne fons,3,0.83,1.44,1993,3
mary hoffman,7,2.11,3.39,1996,1
mary mcmullen,10,0.4,1.26,1985,3
meg wolitzer,8,2.63,2.84,1999,1
michael ashley,19,2.83,3.75,1996,1
nancy gray,9,0.52,1.08,1994,3
nick butterworth,11,3.77,4.08,1996,1
otto kroeger,3,0,0,1991,3
pat mccabe,6,1.63,1.96,1999,3
peter roop,7,4.32,4.89,1999,1
phyllis eisenstein,6,2.42,3.26,1988,1
ralph waldo emerson,14,3.47,3.83,1988,1
richard galli,3,2.39,2.26,2001,3
robert l. short,4,3.88,4.29,1985,1
rose g. mandelsberg,10,2.55,3.06,1993,1
s. t. joshi,3,8,3.46,1994,1
sparkle hayter,17,2.32,1.79,1999,3
stan washburn,3,0.83,0.72,1995,3
steve lopez,7,3.04,3.64,1997,1
steven gaines,5,0.85,1.19,1995,3
susan paul,5,0.91,1.35,1997,3
susan wright,13,1.79,1.83,1999,3
suzan-lori parks,3,1.26,1.11,2001,3
thomas cooley,3,3.33,5.77,1984,1
thomas h. block,4,3.42,3.34,1984,1
tim allen,4,2.26,0.48,1996,3
tom mitcheltree,4,6.58,3.17,2003,1
wayne johnston,9,1.81,2.42,1997,3
william cronon,3,4.2,0.72,1987,3
witold gombrowicz,4,2.25,4.5,1994,1
arthur rimbaud,13,5.81,3.71,1992,1
betty brooks,13,1.63,1.86,1995,3
bill hotchkiss,5,0,0,1989,3
brad reynolds,4,0.8,1.6,1998,3
cara black,6,1.6,1.77,2002,3
catherine texier,3,0,0,1997,3
charles johnson,7,0.88,1.59,1993,3
china mieville,7,4.02,3.65,2002,1
christian teubner,3,6,5.29,1994,1
christy yorke,3,0.78,1.35,2001,3
clay blair,3,1.67,2.89,1990,3
cliff schimmels,5,1.4,3.13,1988,3
clive barker,66,3.22,2.73,1995,0
conrad phillip kottak,3,0,0,1989,3
copeland,3,6.67,5.77,1981,1
cynthia manson,18,2.34,2.87,1996,1
d. james kennedy,3,0,0,1985,3
david b. coe,8,3.13,4.02,2001,1
david hagberg,25,1.17,1.89,1993,3
debra cowan,8,4,4.15,2000,1
dominic o'brien,3,0,0,2001,3
donna gillespie,4,2.06,2.83,1998,1
doris dã?â¶rrie,7,4.29,2.16,1995,1
eboni snoe,4,2.38,4.75,1998,1
edmund wilson,8,0.88,2.47,1987,3
elizabeth hall,3,2.67,4.62,1990,1
elizabeth yates,4,2.13,3.92,1984,1
emmanuã?â¨le bernheim,4,3.73,2.93,1996,1
federica de cesco,9,0.25,0.5,1999,3
federico garcã­a lorca,7,5.43,3.95,1986,1
francois mauriac,4,2.98,3.82,1990,1
gary braver,4,4.81,3.28,2002,1
gilbert hernandez,3,9.5,0.87,1987,1
gill sanderson,3,1,1.73,2001,3
gilles deleuze,3,6.33,5.51,1985,1
graham landrum,3,2.06,1.83,1996,3
hannah march,3,1,1.73,2003,3
hannah pakula,4,4.75,4.29,1991,1
harvey fierstein,3,4.78,0.69,1991,3
helen r myers,3,1.74,0.62,2003,3
helene tursten,5,5.52,3.69,2002,1
hilary norman,16,2.17,2.32,1996,3
isabel sharpe,7,1.53,1.82,2003,3
j. m. dillard,11,3.83,2.86,1994,1
jacob burckhardt,3,3,2.65,1989,1
jane kurtz,4,2,4,2000,1
joan overfield,8,1.92,3.05,1996,1
john bierhorst,3,0,0,1991,3
john g. hemry,4,3,2.12,2002,1
john stuart mill,11,3.83,3.71,1989,1
john tyerman williams,6,0.75,1.21,1999,3
jonathan pearce,12,8.83,2.89,2000,1
jonathan riley-smith,3,2.67,4.62,2000,1
joyce l. vedral,9,1.84,3.08,1993,3
julien gracq,4,6,4.55,1994,1
justine hardy,3,2.5,3.91,1999,1
kate l. turabian,3,0.81,1.4,1987,3
kate white,9,3.15,3.23,2001,1
katharine kerr,25,2.69,2.47,1995,0
keith miller,3,6.33,5.51,1993,1
keith r.a. decandido,12,2.97,3.42,2002,1
larry colton,3,2.67,2.31,1998,3
laurel o'donnell,4,1.69,2.36,1999,3
lawrence di fiori,5,1.93,2.95,1989,3
lee lynch,5,0.6,1.34,1985,3
lewis orde,10,0,0,1986,3
linda devlin,4,7.38,4.92,2002,1
lindsay chase,3,3.5,2.62,1992,1
louise gordon,3,3.33,5.77,1987,1
lucy cousins,24,2.87,3.59,1999,1
martha stewart,15,3.88,3.45,1993,1
mary roach,3,3.94,0.78,2003,3
masterton,3,6,2.6,2001,1
matthew lewis,3,4.17,3.03,1993,1
mike davis,4,6,4.32,1994,1
muff singer,10,3.03,3.36,1995,1
nageeba davis,4,5.31,3.07,2002,1
nathaniel philbrick,5,6.49,1.66,2001,1
nicole hart,3,0,0,1985,3
pascale de bourgoing,4,0.13,0.25,1992,3
paul johnson,13,6.54,3.26,1993,1
peggy rathmann,4,7.43,2.97,1997,1
r.k. narayan,10,2.75,3.44,1990,1
rabindranath tagore,7,5.57,3.95,1993,1
raymond obstfeld,4,1.25,2.5,1990,3
rebecca west,8,3.56,3.74,1991,1
robert carter,3,1.17,2.02,1997,3
robert leeson,7,0,0,1983,3
robert lewis,4,1.25,2.5,1992,3
robert m. quackenbush,8,4.42,4.23,1985,1
robert westall,24,2.27,3.09,1993,1
sandra mackey,3,0,0,1997,3
scott walker,4,1.75,3.5,1988,1
sean hannity,3,2.44,2.14,2003,3
sheila simonson,9,0.82,1.76,1991,3
sherwood kiraly,5,0.6,1.34,1995,3
stacy absalom,3,0,0,1985,3
stephanie spinner,6,0,0,1996,3
steven levy,10,3.5,2.66,1994,1
stuart j. murphy,3,0,0,1999,3
terry dowling,3,2.67,4.62,1991,1
thomas hobbes,3,6.95,5.28,1993,1
tim gautreaux,6,3.49,2.29,1999,1
tiziano sclavi,4,1.63,1.89,1991,3
tracy porter,4,4,4.9,1999,1
trinka hakes noble,6,3.78,3.01,1983,1
victoria alexander,19,2.05,1.69,1999,3
adam-troy castro,4,2.75,3.77,2001,1
alan cheuse,4,0,0,1992,3
aleksandr isaevich solzhenitsyn,4,4,4.69,1979,1
alice dalgliesh,5,4.61,3.69,1992,1
andrew sinclair,3,2,3.46,1985,1
anna pomaska,3,3,2.65,1991,1
ariel dorfman,7,2.67,3.45,1993,1
barbara reid,3,0,0,1992,3
bstan-dzin-rgya-mtsho,14,2.69,3.12,1997,1
camilla gibb,4,4.88,0.85,2002,1
carol north,7,1.63,2.23,1990,3
chandler mcgrew,3,7.87,2.87,2003,1
dandi daley mackall,28,2.04,3.42,1996,0
dannion brinkley,4,3.6,3.3,1995,1
dave dewitt,3,4.33,4.51,1996,1
david lowe,3,2.67,4.62,1989,1
david markson,4,4.63,4.2,1999,1
david william ross,5,0.33,0.75,1993,3
dawn rooney,3,0,0,1997,3
dick sutphen,7,1.29,2.21,1987,3
douglas florian,5,3.8,4.15,1995,1
elizabeth harris,3,6,5.29,1997,1
emory m. thomas,3,0,0,1984,3
gabrielle roth,4,5.5,4.2,1996,1
gayle lynds,10,3.53,3.49,2000,1
george r.r. martin,26,3.59,3.29,1994,1
george w. knight,4,0,0,1987,3
gerard benson,4,6.25,2.63,1994,1
harvey m. deitel,4,2.25,2.63,1999,1
ian mcewan,49,3.49,2.65,1996,0
j. h. brennan,4,1.28,1.49,1991,3
j. m. synge,3,3.13,2.8,1982,1
james d. houston,7,2.15,2.92,1992,3
james walker,4,2.08,2.83,1997,1
jana ellis,5,0,0,1989,3
jane donovan,3,3.33,2.89,1996,1
janet palazzo-craig,12,2.69,4.16,1991,1
jeff campbell,6,4.22,2.95,1993,1
jess stearn,12,3.03,3.72,1991,1
jez alborough,8,5.67,2.98,1994,1
joe mcginniss,17,1.68,1.91,1989,3
john ross,4,5.75,4.35,1997,1
joy wilt berry,30,0.49,1.34,1986,3
julian f. thompson,12,3,3.28,1992,1
juliette leigh,3,0.83,1.44,1998,3
kala trobe,3,8,1.73,2001,1
karl jaspers,7,2.57,4.43,1978,1
katherine mansfield,12,2.22,3.58,1989,1
laurie john,31,1.74,2.51,1998,0
liz nickles,6,3.34,1.57,1994,3
lois szymanski,3,3.73,1.1,1997,3
lorna sage,3,1.87,1.64,2002,3
malcolm hulke,5,3.8,5.22,1985,1
mantak chia,6,1,1.58,1991,3
margaret reynolds,5,5.13,4.01,1995,1
martin seligman,3,0,0,2001,3
michael miller,4,3.33,2.71,2000,1
mickee madden,4,1.7,1.4,1997,3
mitchell sharmat,4,2.13,2.53,1984,3
nigel d. findley,3,6,5.2,1995,1
pam crooks,5,2.1,2.87,2002,1
pierre franey,7,3,3.92,1984,1
richard speight,4,0,0,1991,3
robert dessaix,3,3.83,4.01,1997,1
robert shelton,3,5.67,5.13,1991,1
robert zubrin,7,5.42,3.88,2000,1
running press,28,4.73,4.22,1994,1
shay youngblood,4,3.58,2.65,2000,1
stefan fatsis,3,4.08,1.73,1999,1
stephen r. donaldson,48,2.81,2.05,1991,0
stephen vizinczey,3,2.33,4.04,1987,1
sue civil-brown,7,1.49,0.66,2000,3
susan hawthorne,4,3.75,2.63,1998,1
susan wojciechowski,4,0,0,1995,3
swain wolfe,4,1.81,2.48,1996,3
tom lewis,3,2.67,4.62,1991,1
vicki caruana,3,1.5,2.6,2000,3
walter abish,3,2.17,2.02,1983,3
watchman nee,4,0.67,1.33,1979,3
william beausay,4,1.13,2.25,1998,3
kris neri,4,3.93,3.85,2001,1
tina caspari,8,6.13,2.47,1989,1
alan korwin,3,2.33,4.04,1999,1
albert cornelis baantjer,7,2.71,3.4,1995,1
andy rooney,7,2.95,2.52,1994,1
annie ingle,4,5.13,4.33,1993,1
april smith,8,0.88,1.04,1996,3
assia djebar,6,4.09,2.67,1996,1
bob carlisle,3,5.9,2.69,1999,1
brian moore,21,2.18,2.54,1993,3
campbell black,4,0.42,0.83,1982,3
carmen laforet,6,1.24,1.55,1993,3
charles barkley,5,3.09,2.16,1997,1
charles lamb,10,2.09,2.98,1994,1
chris kenry,4,3.5,4.12,2002,1
christopher maynard,5,4.4,4.39,1995,1
clark strand,4,1.75,3.5,1999,1
debbie raleigh,11,1.01,1.4,2002,3
derek lundy,3,1.67,2.89,2001,3
diana kirk,3,10,0,2001,1
diane haeger,6,2.37,3.41,1999,1
doris egan,4,5.73,2.14,1994,1
elizabeth taylor,7,1.74,3.3,1989,3
evelyn wilde mayerson,4,1.65,1.99,1990,3
frederick busch,18,1.39,2.27,1995,3
friedrich a. hayek,4,1.5,3,1979,3
galsan tschinag,3,9,1.73,2001,1
gandhi,4,4.75,5.5,1994,1
gary snyder,8,4.43,3.86,1986,1
"george gordon byron, baron byron",3,5,1,1985,3
george saunders,5,3.07,2.07,1999,1
graham hurley,4,0.63,1.25,2001,3
greg donegan,3,3.56,0.92,2000,3
h.c. andersen,9,4.13,3.9,1989,1
heather cullman,4,1.38,1.6,2000,3
isabel colegate,8,2,2.88,1992,3
james swain,7,5.58,2.79,2003,1
jan freed,8,1.76,1.3,1997,3
jane goldman,4,3.56,2.88,1998,1
janis laden,3,0,0,1990,3
janosch,25,4.74,4.1,1997,1
jaume fuster,4,5.75,3.86,1988,1
jean saunders,4,1.5,3,1992,3
jean stubbs,7,1,1.73,1991,3
john hagee,4,4.13,4.77,2001,1
joseph joffo,8,4.56,3.13,1990,1
joy fielding,41,2.05,1.77,1996,0
karen osborn,3,0,0,1996,3
katie hickman,5,2.1,2.88,2000,1
kevin baker,7,2.06,0.94,2000,3
laurence yep,28,2.7,3.33,1993,0
learning express,3,3.33,5.77,2001,1
leonard mlodinow,3,3.17,3.01,2002,1
lilian obligado,3,0,0,1984,3
loren d. estleman,66,2.32,3.2,1995,0
machado de assis,3,4.67,4.51,1985,1
macinnes,10,1.68,3.13,1981,3
maggie simpson,4,0.25,0.5,1995,3
maisie mosco,14,1.53,2.38,1988,3
marita golden,8,0.44,1.24,1995,3
martha davis,3,5.67,4.93,1995,1
mary gentle,15,2.75,2.52,1994,1
melisa c. michaels,6,1.67,4.08,1989,1
michael kurland,8,3.79,3.52,1994,1
michel houellebecq,21,3.78,2.57,2001,1
nan ryan,27,2.09,3.1,1997,0
nancy hathaway,3,7,2.65,1991,1
nancy pickard,42,2.01,1.9,1994,0
nancy star,3,6.87,2.2,1997,1
nigel gray,4,2.5,5,1991,1
paul kidd,5,2.2,2.4,1998,3
penny richards,15,0.76,1.87,1996,3
q.l. pearce,3,1.67,2.89,1992,3
raymond benson,16,1.02,1.92,2000,3
richard hooker,3,1.6,2.77,1986,3
richard tames,4,7,4.76,1995,1
robert ehrlich,3,2.67,4.62,1996,1
rosemary sullivan,5,5.2,3.35,1998,1
scott mitchell,3,5,4.36,2000,1
sean o'reilly,4,5.13,4.48,1999,1
shana carrol,5,0,0,1983,3
sheila o'flanagan,8,3.69,3.71,2000,1
siobhan parkinson,5,6.2,3.56,1998,1
stephen krensky,14,1.98,3.46,1995,1
sue mccauley,3,1.5,2.6,1991,3
sue welfare,4,0.73,0.95,2001,3
susan m. love,5,4.53,3.57,1996,1
susan sontag,26,2.45,2.6,1995,0
sylvia townsend warner,4,4.25,5.06,1993,1
thomas berger,19,2.67,3.51,1987,1
thomas dubay,3,6,5.29,1998,1
titania hardie,7,2.86,2.87,1999,1
tom topor,4,2.61,2.3,1995,3
victor pemberton,3,2.67,4.62,1996,1
victoria finlay,3,4.11,5.23,2003,1
william h. lovejoy,12,1.51,1.79,1995,3
adele faber,10,2.64,2.41,1991,3
aileen joyce,3,0,0,1994,3
alice taylor,5,2.8,4.09,1997,1
angus j. kennedy,5,4.44,3.57,2001,1
anne miranda,4,4.75,5.5,1996,1
anton gill,6,1.67,4.08,1999,1
astrid ericsson lindgren,4,3.35,2.94,1990,1
barbara ann brennan,3,2.33,4.04,1995,1
barbara hall,4,1.88,1.44,1996,3
barry hughart,5,3.25,3.42,1991,1
bernice myers,3,0,0,1985,3
bob longe,5,0,0,1999,3
bruce blitz,3,5,5,1997,1
cara colter,9,0.57,0.85,2001,3
carmen posadas,10,3.54,3.28,2000,1
carolyn coman,5,3.3,1.72,1998,3
cheri huber,11,5.06,4.5,1996,1
christopher newman,12,0.68,1.48,1993,3
curtiss matlock,6,1.35,1.57,1996,3
david ellis,9,4.44,3.5,2001,1
david mason,3,3.07,4.31,1995,1
denise giardina,7,1.45,1.91,1996,3
desmond seward,3,1.67,2.89,1986,3
donald spoto,26,3.33,3.75,1996,1
earl murray,11,1.18,2.71,1996,3
ed mcbain,151,2.8,2.94,1992,2
edward p. moser,3,0.5,0.87,1996,3
elfriede jelinek,5,1.59,1.47,1997,3
elizabeth fenwick,5,2,4.47,1996,1
erma bombeck,56,2.35,2.06,1987,0
gaye hicyilmaz,3,0,0,1995,3
gina shaw,3,3,5.2,1997,1
great chefs,4,6.5,1,1984,1
harry s. dent,4,1.4,2.8,1998,3
helen dunmore,15,2.41,2.57,2000,1
helme heine,4,4.25,5.06,1990,1
henry handel richardson,3,6,2.65,1992,1
hiram bingham,11,1.48,2.68,1994,3
ian strachan,4,4,4.69,1995,1
ingrid noll,16,3.2,2.33,1999,1
iris krasnow,4,4.75,2.66,2000,1
jacqueline marten,5,3.33,2.97,1990,1
james byron huggins,5,0.71,1.08,1997,3
jane green,16,3.39,2.27,2002,1
jim schutze,5,2.72,1.75,1995,3
john arthur garraty,4,6.25,2.22,1987,1
john d macdonald,8,0.73,1.75,1979,3
judd winick,7,7.75,2.57,2001,1
julie johnston,4,2.86,2.54,1996,1
k.k. beck,6,0.33,0.82,1990,3
karen x. tulchinsky,3,3.07,3,1999,1
karin ireland,3,0,0,1995,3
kate wilhelm,38,1.7,2.07,1994,0
kathleen o'reilly,7,4.34,2.86,2003,1
kathy mitchell,3,6.67,2.89,1998,1
keane,7,1.33,2.4,1981,3
kelley armstrong,4,3.34,1.6,2003,3
kelsey grammer,4,1.33,1.04,1995,3
kimberley white,3,2.67,4.62,2003,1
l. sprague de camp,22,1.68,2.81,1989,3
laurie g. kirszner,7,3.57,4.61,1998,1
lee canter,4,4.75,4.15,1994,1
leonard tourney,7,1.84,3.31,1992,1
liza fosburgh,4,3.25,3.95,1987,1
louis phillips,7,3.98,4.66,1992,1
lynn freed,6,1.57,1.86,1998,3
maj sjã?â¶wall,7,2.33,3.3,1999,1
mark mathabane,8,1.68,1.91,1993,3
mark minasi,7,5.71,2.93,1997,1
michael caine,5,3.87,4.72,1990,1
millicent e. selsam,4,3.33,3.14,1991,1
mireille calmel,4,3.5,4.04,2003,1
morgan scott peck,4,4.15,2.79,1986,1
mort castle,3,1.72,2.43,1994,3
nancy kilpatrick,6,1.04,1.23,1998,3
patrick sebranek,4,7.33,2.54,1994,1
patrick spielman,7,7.14,4.88,1993,1
paul findley,3,0,0,1995,3
peter charles newman,3,5.17,4.54,1988,1
piers dudgeon,3,5.17,2.75,2000,1
robert blaisdell,6,2.38,3.89,1998,1
robert hand,5,6.47,3.62,1989,1
robert mendelsohn,4,1.38,2.75,1995,3
rod r. butterworth,3,3.37,2.28,1992,1
rodman philbrick,12,1.98,2.57,1999,3
stephen dixon,4,0.5,1,1995,3
susan hayward,6,4.08,3.9,1996,1
susan slater,7,3.26,3.71,2003,1
thomas mcguane,14,1.37,2.64,1990,3
thommie bayer,5,5.18,2.22,1995,1
tim willocks,5,3.53,3.28,1998,1
tomas eloy martinez,6,3.56,4.14,1997,1
trezza azzopardi,3,3.05,0.56,2002,3
viana la place,3,6.67,5.77,1991,1
walter krã?â¤mer,5,1.91,1.82,2000,3
welwyn wilton katz,6,3.45,3.66,1998,1
thomas l. friedman,7,3.7,3.13,1999,1
vicki thompson,4,0.57,1.13,1995,3
al sarrantonio,12,4.14,3.4,1997,1
alexis harrington,9,2.12,1.98,1998,3
alison prince,3,1.17,2.02,1994,3
amy witting,3,4.5,5.07,1996,1
anne bernays,4,3.06,4.24,1995,1
anne hebert,3,1.33,2.31,1992,3
arthur charles clarke,25,2.55,3.15,1985,0
barbara boswell,35,1.98,2.9,1994,0
barbara brabec,3,1.13,1.96,1994,3
beth cruise,11,0.23,0.75,1994,3
beth wilson,3,0.89,1.54,1994,3
carlos puerto,3,2.67,4.62,1999,1
christopher buckley,18,3.63,2.87,1995,1
colleen k. dodt,3,7,2.65,1996,1
colleen mccullough,39,1.95,2.02,1991,0
corinne denan,3,0,0,1980,3
daisaku ikeda,29,9.14,2.58,1988,1
david r. stiles,3,6,1.73,1997,1
debra lee brown,5,1.34,1.43,2002,3
donald honig,3,2.67,4.62,1987,1
doreen owens malek,12,1.04,2.15,1993,3
eddie little,4,3.83,2.65,1999,1
edward twitchell hall,6,3.44,3.91,1983,1
eiji yoshikawa,12,0.99,1.88,1991,3
elaine fox,11,1.36,1.53,1999,3
elizabeth bolton,3,1.33,2.31,1985,3
emeril lagasse,5,4.67,1.66,1998,1
emily spenser,4,0,0,1986,3
fiona buckley,11,3.34,2.38,2000,1
first little golden book,3,0.28,0.48,1999,3
florence king,8,3.7,3.95,1990,1
fran manushkin,10,5.35,3.45,1990,1
g. k. chesterton,16,4.33,3.81,1996,1
gail fairfield,4,5.5,3.42,1994,1
george shannon,5,1.8,3.49,1998,1
graham kerr,3,0,0,1994,3
greg anderson,6,2.77,3.23,1995,1
greg bear,61,2.83,2.65,1994,0
h. n. turteltaub,3,3.25,2.82,2002,1
harville hendrix,8,3.32,2.9,1996,1
hayley gardner,3,1.67,2.89,1999,3
isobelle carmody,6,5.53,3.3,2001,1
jack martin,4,0,0,1985,3
jacquelin thomas,8,4.19,3.6,2002,1
james wilcox,12,2.54,3.15,1995,1
jane kirkpatrick,11,3.81,2.99,2000,1
jerry ellis,5,0.8,1.79,1995,3
jodie forrest,3,0.67,1.15,1998,3
john bentley mays,3,2.33,4.04,1999,1
john hockenberry,4,3.29,3.96,1999,1
josã© saramago,6,7.15,2.15,1996,1
juan manuel de prada,5,1.7,1.72,2000,3
julie hagstrom,3,2.5,2.29,1984,3
julio cortã?â¡zar,4,3.42,2.87,1990,1
jurek becker,8,3.28,3.15,1995,1
kate walker,16,0.91,1.58,1997,3
kathy braidhill,3,0.96,0.89,1996,3
kathy herman,6,4.17,4.17,2003,1
laura doyle,3,4.19,3.44,2001,1
lee j. ames,7,3.93,4.29,1984,1
lilian harry,6,1.53,2.32,2000,3
linda lang bartell,5,4,4.64,1994,1
lonnie coleman,3,0,0,1978,3
lucinda roy,4,1.88,2.17,2000,3
lyn stone,14,1.85,1.93,2000,3
margaret buffie,6,2.51,2.88,1995,1
marilyn levy,6,3.33,5.16,1989,1
matthew thomas,3,2.99,2.6,2000,1
melinda metz,21,2.33,2.44,2000,3
melissa stone,4,0,0,1989,3
michael a. pastore,7,0.86,2.27,1998,3
michael coney,3,0,0,1985,3
michael palin,15,3.48,2.83,1995,1
michael thomas,3,1,0.87,1982,3
mike magnuson,4,5.13,3.66,2001,1
muriel mandell,4,4.2,3.8,1989,1
nadine bernard westcott,3,0.89,1.54,1995,3
neil  rackham,3,5.83,5.2,1993,1
nichelle nichols,3,1.83,1.76,1995,3
pamela britton,5,2.26,3.27,2003,1
rae andre,3,1.22,1.35,1992,3
richard marius,5,1.8,4.02,1996,1
richard pipes,3,4,4.58,1998,1
robert crais,24,2.49,1.63,1998,3
ruriko pilgrim,3,5.33,5.03,2001,1
ruth myers,3,4.37,4.51,1999,1
simon st. laurent,3,0,0,1999,3
stephanie marohn,3,5.67,4.93,2003,1
stephen frey,9,3.06,2.41,2001,1
stephen g. michaud,9,1.8,2.36,1994,3
susan sheehan,5,1.73,3.34,1990,3
val daniels,8,1.72,2.14,1996,3
wendy beckett,4,3.5,4.36,1999,1
