author,qtd_livros,media_avaliacao
marie morreale,3,0.83
mark graham,4,3.69
marlena de blasi,3,2.43
marlys millhiser,9,3
martha paulos,2,0
"martin, ph.d. katahn",3,2.53
martyn bedford,2,1.88
mary o'neill,2,7
mercer warriner,2,0
michael g. smith,2,1.25
michael o'rourke,3,0
michele serros,2,5.5
milton osborne,2,0
mystery scene staff,2,0
nancy cartwright,2,1.5
nancy gideon,10,2.93
natalie goldberg,10,3.11
nigel nicolson,6,4.22
oek de jong,2,0
pat frank,7,4.38
patricia thackray,3,2.67
paul shipton,3,2
peta tayler,4,1.5
peter rawlinson,3,4.67
peterson's,4,3
philip friedman,7,1.43
philip lee williams,3,0.67
philippa waring,2,4.5
phyllis a. whitney,78,1.66
pierre j. capretz,2,0
prestel,2,5
ralph roberts,2,5.67
readers digest association,5,1.23
rebecca paisley,4,3.33
regina scott,10,0.93
richard frede,2,2.04
richard lockridge,3,2.33
richard m. restak,4,4
robert bolton,2,0.83
robert l. chapman,6,8.75
robert s. feldman,2,0
roger scruton,3,0.17
rosemarie santini,2,2.25
rudolf flesch,2,3.88
rudy galindo,2,3.13
"rush h., iii limbaugh",3,1.52
ryszard kapuscinski,14,3.68
sally beauman,18,2.72
sam harrison,3,3.83
sharon dlugosch,2,5
sharon green,28,2.44
sharon gwyn short,3,1.17
sherwood smith,5,2.09
sid kirchheimer,4,3.79
stefan bechtel,4,3.81
stephane frattini,2,9
stephen shott,4,5.5
stephen sondheim,4,3.25
steve stern,2,0
stuart mcclure,2,7.13
suzanne barclay,13,0.71
suzette elgin,2,3.5
terrence mcnally,7,3.14
theresa gladden,3,3.83
thomas d brock,2,5
thomas r. p. mielke,3,2.54
tim burford,2,5
tim cahill,13,4.24
tom monte,2,0
tracey dils,2,0.25
veronica heley,4,2.25
vincent flanders,2,7
vita sackville-west,7,3.02
walter foster,2,0
"wayne w., dr. dyer",7,2.4
william campbell gault,2,0
william h. davidow,4,0.88
wolfgang manekeller,2,3
zalin grant,2,0
ze do rock,2,5
rusel demaria,2,1.75
aaron copland,4,4.13
abby ruoff,4,3.75
afua,2,7
andrei codrescu,26,4
anita naik,3,2.33
ann hodgman,8,0.72
ann-marie gallagher,2,9.5
anna akhmatova,2,1.67
anonimo,18,4.56
b.w. battin,2,0
baltasar gracian y morales,3,4.51
barbara bush,3,3.72
barbara hannay,7,1.71
barbara ireson,3,2.33
barbara pym,25,3.05
baroness emmuska orczy,2,4.5
bartholomew (firm),3,4.33
bernard taylor,4,1.2
bob rotella,2,3.25
bob schieffer,2,2.8
brownlow publishing company,2,4
camille bacon-smith,2,0
carole gift page,2,0
children's bible hour,2,2.5
christopher brickell,3,6.33
christopher finch,5,4.67
cindy chupack,2,2.5
cindy harris,5,2.5
dan harmon,2,6
dan harrison,2,0
dan r. dick,3,2.33
dave marsh,10,4.87
david cook,6,0.78
demitri papolos,2,3.75
deni bown,7,5.21
dennis michael walker,2,5
don wulffson,3,1.44
donna andrews,12,4.75
"e.d., jr. hirsch",3,6.1
edward w. goodrick,3,6.33
elizabeth chandler,9,1.39
elizabeth fagg olds,2,2.25
eric holder,2,5.25
florence stevenson,2,3
gary a. dias,2,4
gary fishgall,2,8
gordon mcgill,3,1.93
griffin,3,0
h. bruce franklin,2,5
harold h. bloomfield,8,3.11
heather g. pozzessere,3,0.44
ilene beckerman,3,1.92
j. g. ballard,13,3.07
jacques roubaud,3,1.11
james dale,23,0.71
james fox,7,1.33
james gary shelton,2,9
james t. farrell,4,2.25
jamie stamper,2,3.5
jane b. mason,10,1.28
jennifer fulton,6,2.17
jesse leon mccann,19,1.7
jodi dawson,3,1.33
joseph j. ellis,4,4.41
karen goldman,2,2.54
keith waterhouse,5,6.4
kevin elyot,3,2.67
konrad heiden,2,0
lara webb carrigan,2,3.5
laura lemay,13,3.03
laura scott,3,6.67
laurie campbell,4,3.3
laurie krasny brown,3,1.42
linda & richard eyre,2,1.75
linda schwartz,2,0
lisa bearnson,2,6.25
lori reid,11,3.91
lucinda mcqueen,4,1.25
luiz alfredo garcia-roza,4,2.38
margaret stanger,2,7.63
margery williams,11,4.48
martha rose shulman,8,5.06
martin gilbert,8,3.13
"mary ann, ph.d. dudko",2,1.25
maxence fermine,6,5.35
melinda blanchard,3,5.39
michael baisden,5,4.5
miguel gila,2,2.5
mike albo,2,0
miranda cameron,4,0
mitch golant,2,1.75
morgana rhys,2,2
nancy kennedy,3,3.33
nancy white carlstrom,6,3
natsuo kirino,2,5.54
nega mezlekia,2,4.5
neil sheehan,3,4.77
nicholas luard,8,0.38
norman k. risjord,2,7
olafur johann olafsson,2,1.67
patricia pearson,2,3.72
patrick robinson,18,1.91
paul dengelegi,2,2.33
peggy gavan,2,0
pete egoscue,4,0.83
peter novick,3,5
peter seymour,4,1.25
philip l. fradkin,2,0
philip zaleski,6,2.33
phyllis hobe,4,0
phyllis hollander,3,1.75
randall jarrell,5,2
rebecca price janney,3,1.33
rick riordan,9,3.75
robert gardner,2,0
rodney stark,2,0
rosemary sassoon,2,2.5
sandra boynton,22,3.87
sarah lovett,13,1.14
scott gray,4,1.63
sebastian de grazia,2,0
sharon peters,7,3.02
shifra horn,3,3.05
sia figiel,2,3
sigmund a. lavine,2,0
sorrel wilby,3,4.67
stephen gregory,3,0
susan isaacs,29,2.02
susan plunkett,8,1.11
susanna gregory,6,3.06
susanne frã?â¶hlich,4,2.25
terence hughes,2,0
thomas e. ricks,2,4
tom parker,2,6.25
toni weschler,2,7.25
v. vale,4,4.25
victoria secunda,5,2.1
william carpenter,2,6.88
william johnstone,11,0.86
witold rybczynski,11,3.19
yoshiyuki sadamoto,6,8.36
zelda lockhart,2,0
yvonne whittal,25,0
adrien arpel,4,0
alan cook,2,0
alan gordon,5,7.48
alexander lockhart,2,2.25
alice may brock,2,0
alma guillermoprieto,4,1.75
american heritage dictionaries,6,0.83
andre malraux,3,4.33
andrew weil,26,2.97
angeles mastretta,9,1.06
barbara smith,14,2.54
bernice beard,2,7.5
betty greene,2,4
bliss broyard,2,3
bobbi smith,28,1.72
brad caudle,3,8
bruce bickel,9,1.78
burleigh muten,2,0
burt hirschfeld,8,0
burton l. mack,2,0
c.b. christiansen,2,1.75
carol s. pearson,2,2.07
cathleen rountree,5,1.82
christina skye,19,1.42
christine marion fraser,6,2.72
clarke c.,7,2.88
cliffe knechtle,2,0
clive james,9,5.89
corey mcfadden,2,1
cynthia rylant,38,2.98
d. kincaid,2,0
daniel panger,2,0
david gates,5,3.85
david h. ahl,2,7.5
david shenk,3,5.06
david snowdon,2,7.33
dennis covington,4,3.21
dennis hensley,3,4.61
dodie kazanjian,2,0
douglas hofstadter,3,5.67
edmundo paz soldan,2,7.5
edward hays,2,0
ehud havazelet,2,1.25
eileen berger,3,1.17
elaine crowley,3,6.83
elbert luther little,2,5
elizabeth ann michaels,2,0.83
ellen miller,3,3.86
emma darcy,80,1.04
eugen roth,3,4
evelyn loeb,2,2.83
fidelis morgan,4,1.82
florence wagner mcclain,2,0
francisco umbral,6,0.5
g.a. wilkes,2,3.5
gabrielle kraft,3,0
gail whitiker,2,1.25
gary e. mccuen,2,3.5
gerald l. schroeder,2,8
gloria jahoda,2,1.42
golden books staff,6,2.15
guinness,3,2.77
hampton sides,4,3.01
harry browne,5,3.4
harvey penick,3,0
herman j. viola,2,0
homã?â¨re,4,1.25
horton foote,6,0
ilse koehn,2,0
inge sargent,2,4
irving howe,12,3.46
isolina ricci,2,6.25
j. gordon melton,3,5.08
jack erdmann,2,0
james c. humes,6,5.67
james montgomery boice,2,0
james r. lewis,2,5.51
jane dyer,4,3.25
janice kaplan,3,0
jasmine jones,4,6.42
jeanne rose,7,3.89
jerome d. salinger,4,5.37
jesse browner,2,0
jim hohnberger,2,5
jimmy carter,20,4.34
jimmy connors,2,0
jinks mcgrath,3,6.67
joal ryan,2,6
joanna catherine scott,2,0
john annerino,2,0
john l'heureux,9,1.83
john mclaren,4,3
john steakley,4,3.34
joie warner,3,3.33
joseph gies,3,6.17
josyane savigneau,2,3.5
jurgen habermas,2,9.5
juri rytcheu,2,0
katherine ayres,2,1.75
keith lye,5,0
ken beck,5,2.13
kerry tucker,5,2.6
kimberly weinberger,6,3.28
larry berger,2,2.5
lawrence millman,3,3
lesley s. king,2,0
leslie halliwell,5,7.2
leslie stella,2,2.6
linda johnston,3,0.53
lindsey o'connor,3,0
liz evans,6,5.67
loriot,6,6.25
luis francia,3,5
margaret frazer,18,3.92
margaret mckenny,2,9
margo anand,3,4.17
margot dalton,31,1.8
mariano jose de larra,2,0
mark behr,2,0
mark buchanan,4,3.38
mark fisher,7,4.56
martin limon,5,2.6
mary spencer,4,1.5
michael e. mcgill,2,0
nancy atherton,18,2.98
nicholas fisk,7,3
olivia st. claire,2,2.95
p. d. james,74,2.35
p. joseph canavan,2,4
pamela sargent,24,2.61
pat hackett,2,2
paul d. meier,5,0.59
paul h st. pierre,3,2.67
paul valery,2,3
peter carey,31,2.98
r. karl largent,16,1.3
rankin,2,1
ranulph fiennes,4,2.81
rhonda greenburg,2,3.5
richard bode,3,4.22
richard ives,2,3
rob huizenga,2,6.75
robert e. alberti,4,1.25
russell m. griffin,3,2.33
ruth belov gross,2,1.75
sally garrett,6,0.94
schim schimmel,2,8
stephanie gertler,5,2.46
suzannah dunn,3,4.33
sylvia cassedy,2,1.63
terry waite,4,5
thomas hine,7,1.81
tracy kidder,17,2.67
valerie georgeson,2,2.5
veronica blake,3,0
vinny lee,2,4.5
volker braun,2,0
w. e. b. griffin,75,2.19
william ayers,2,4
william olaf stapledon,3,3.09
adrian desmond,2,9.5
aidan chambers,6,1.38
alice mclerran,3,7.67
allen ginsberg,8,5.41
amy e. dean,3,2.22
andrew edney,3,3.33
anne henry,6,0
arturo pã©rez-reverte,6,6.81
barry long,3,0
ben hecht,2,0
birger sellin,2,3.5
borgna brunner,2,2
brian keith jackson,4,3.75
bruno ernst,2,8
caroline alexander,6,4.47
charles sullivan,2,3.5
chris raschka,2,0
christopher cerf,3,4
clare oliver,2,7
david budbill,2,1.3
david olive,3,0
david s. holmes,2,8.5
deborah scaling kiley,2,2.63
diana delmar,2,0
donna hay,6,4.92
donna kooler,6,6.5
edward rice,2,7
elisabeth bumiller,3,4
elizabeth mitchell,3,5.33
eric metaxas,3,1.67
eugene ionesco,6,2.36
fabienne marsh,3,2.33
frank baer,4,0.83
g.m.a. grube,2,6.25
giles foden,3,1
glen bledsoe,2,2.5
grant blackwood,3,3.36
griff rhys jones,3,7.33
harold sherman,2,4.88
heinz r. pagels,7,4.2
hillary waugh,2,4
jahnna n. malcolm,23,1.25
james davidson,2,5.5
james reaney,2,1.5
james trefil,7,2.92
jane routley,4,1.21
janette sebring lowrey,5,4.11
jean strouse,3,4.33
jennifer baker,15,4.18
jessica benson,2,1.33
joan flanagan,3,2.67
joe sharkey,3,0
john casey,6,1.8
john cassidy,13,1.96
john mitchell,2,4
jonathan kwitny,3,0
judith lynn nichols,2,5.75
judy press,3,0
june m. bacher,3,1.67
jãºlius satinskã½,2,3.25
karen brichoux,2,1.6
kathleen hersom,2,0
keith maillard,2,5.13
keith snyder,3,6
keith thomas,3,0
kim masters,2,0
kurt r. a. giambastiani,3,6.33
lawrence j. magid,2,1
linda markowiak,7,1.18
loraine burdick,2,10
lou cameron,5,0.67
louise hagler,4,4.67
lynne gerard,2,4.5
maggi mccormick gordon,2,5
margaret hughes,3,2
marguerite henry,26,2.26
marianne fredriksson,19,3.04
marie g. lee,2,0
mark pendergrast,3,0.9
mark phillips,2,0
martin kelly,2,0
mary mcvey gill,3,0
mary webb,3,1.11
michael cox,9,2.57
michael j. roads,3,3.33
michael maccaskey,2,3.06
michael mccall,2,3.17
michel,2,0
michel piquemal,2,4.5
michelle smith,3,6.33
mike bickle,2,2.5
morris l. west,7,2.87
musa maimu,2,10
nancy bond,3,1.78
nancy kress,30,3.55
nicola griffith,12,3.52
nora gallagher,2,6.5
oscar collier,2,0
pablo medina,2,4
padgett powell,6,1.74
pam mccutcheon,7,0.69
pam vredevelt,4,5.33
paul harrison,2,7
paula detmer riggs,12,1.69
pauline kael,4,0
peter kurth,5,2.33
peter marris,2,0
phil hardwick,6,1.5
philip mason,2,4
r. j. pineiro,18,2.29
raymond e. feist,40,3.75
richard osborne,7,3.46
rif k. haffar,2,4.5
robert bateman,2,10
robert parker,9,3.48
robert scott,5,3.39
robert w. black,2,0
ronald kessler,15,2.07
sandra cisneros,15,4.36
sandy dengler,7,2.62
sara vogan,3,0.78
savannah michaels,2,4.5
scott o'dell,36,2.53
stephen b. oates,7,2.07
stephen molstad,2,1.67
stephie davis,2,0
susan canizares,20,3.8
susan fox,22,0.85
susan j. tweit,2,4.5
susan jonas,2,4
suzanne frutig bales,3,2.33
sy montgomery,7,3.83
ted gottfried,2,7
temple grandin,3,3.67
terah kathryn collins,2,4.71
terry golway,2,3.5
thomas andrew bailey,3,1.67
tim jepson,7,3.71
vanessa grant,11,0.23
wataru yoshizumi,8,8.96
william x. kienzle,34,1.07
williams,7,1.21
yasuo uchida,2,0
nien cheng,4,5.17
robin james,2,0
adele puhn,2,0
aharon appelfeld,4,4.25
albert hourani,4,5.67
alex simmons,4,1.25
alfred j. garrotto,2,10
andrew mcgahan,3,4.56
andrew pyper,3,1.59
andy riley,2,3.99
ann granger,25,3.19
anonymus,3,5.5
barbara kay polland,2,0
bernard lefkowitz,2,7.17
bernard wiseman,4,1
bethany roberts,3,1.67
bob peck,2,3
c. l. moore,2,2.5
camara laye,2,1.17
carly wall,2,2.5
catherine hapka,2,0
charles l grant,2,4.67
cheryl sedeker,2,5.17
christine cameron,2,4.75
clifford a. pickover,8,1.9
clifford g. christians,2,0
corliss lamont,3,4.33
dale carnegie,22,2.48
david hampshire,4,5.25
david m. jacobs,2,0
david punter,4,3.5
denis guedj,7,3.64
dian thomas,3,4
diana rosen,3,2.5
dierdre purcell,2,1.75
donald lynch,3,4.44
donald michael kraig,2,2.11
donald newlove,3,3
douglas e. comer,2,0
dr. louise hart,2,4
eddie izzard,3,6.2
elaine marie alphin,3,3.44
elisabeth vonarberg,2,5.1
elizabeth dean,3,0
erich loest,2,8
evelyn vaughn,9,2.37
fitzhugh dodson,5,2
frank edwards,2,4.1
friedrich engels,3,9
gary hamel,3,3
george douglas brown,2,5
george edward stanley,2,4.5
gordon d. shirreffs,5,0.5
hans-ulrich grimm,4,8.38
j.e. pournelle,2,0
j.j. marric,4,0
jacinto verdaguer,2,0
jacqueline a. ball,2,2.5
james neal harvey,6,0.7
janet lynnford,5,2.05
jeannette walls,2,1.5
jennifer mikels,20,1.68
jesãºs torbado,3,3
jim mortimore,3,2.33
joanna wissinger,3,5.67
joe edley,2,8
joe torre,2,4.5
john cannon,3,8
john marsden,30,3.53
joseph heywood,2,1.39
joyce ballou gregorian,3,2.33
kathleen eagle,39,2.82
kathlyn gay,8,4.88
kenneth rexroth,4,5.25
kirk mitchell,15,3.18
klaus bednarz,3,2.33
l. t. horton,11,1.89
lars svensson,2,10
lawrence david,4,0.5
leonard f. guttridge,4,2.1
linda shertzer,4,0
lois f. dyer,3,0
lois tschetter hjelmstad,2,0
loretta chase,8,2.33
loung ung,3,3.37
maggie hyde,2,5.83
margot patterson doss,2,1.33
matthew woodring stover,6,1.11
meda ryan,2,0
meggin cabot,4,2.42
michael brownstein,2,3.75
michael dibdin,32,2.62
"michael f., ph.d. jacobson",3,3.56
michael patrick macdonald,2,4.2
michelle martin,4,2.75
mickey baskett,6,2
mike echols,2,1.83
milton meltzer,8,2.83
monique proulx,2,1.5
myrna mackenzie,16,1.59
nancy lemann,5,2.5
nicholas blake,13,0.81
norm goldstein,4,3.75
norma j. bumgarner,2,8.6
norman myers,2,4.25
p.k. mcallister,2,0
paddy chayefsky,3,3.5
patricia coughlin,14,1.81
paul e little,2,4
paul halpern,3,3.67
philip e. booth,2,4.5
philip farmer,2,2
philippa gregory,21,1.71
phyllis j. read,2,0
rachel ingalls,8,1.44
rama mehta,2,0
ray coleman,5,1.8
raymond t. mcnally,2,0
red pine,2,0
richard branson,7,4.62
richard w. langer,2,9
robin goldstein,2,0
robin wells,10,1.78
ronald b. shwartz,2,0.88
sharon jarvis,4,3
shelley cooper,5,0.92
stefan zweig,19,3.55
stephen northcutt,2,8.5
susan milord,4,5.75
susannah stacey,10,3.88
t. w. kã¶rner,2,0
tamara mckinley,2,4
ted j. kaptchuk,2,4.5
teri king,4,1.38
thomas r. mcdonough,2,1.25
valentina harris,3,1.25
van wolverton,3,0.83
will roscoe,4,0
william macquitty,2,2.5
woody leonhard,2,7.5
elgen m. long,2,3
j. k. mayo,2,0
william gaunt,2,3.5
abby adams,3,4.33
alberta turner,3,3.33
alcoholics anonymous,2,4.08
aleksandr sergeevich pushkin,10,5.45
alexander sutherland neill,3,4
alfredo vea,4,4.06
amy hall,2,5.33
andre gide,13,3.49
andrew wilson,5,5.6
ann hulme,2,0
annabel karmel,2,6.5
arthur golden,7,3.69
arthur j. keown,2,2.5
arthur jacobs,3,1.67
becky gold,3,2
bernard s. cayne,4,1.75
bernyce barlow,2,7.13
bill parcells,2,2
bob millard,2,4.75
bobbie ann mason,19,3.1
brian l. weiss,5,2.78
bronwyn williams,17,1.79
carole bugge,4,3.18
catherine dain,6,2.83
charles a. beard,2,5
chinua achebe,28,2.92
chris oarr,16,6.97
chrystos,2,7
conor cregan,2,0.75
cornelius tacitus,4,3.4
craig rice,8,4.25
daniel boorstin,2,7.19
daniel sueiro,2,0
darlene geis,3,0
david brancaccio,3,0.78
david frahm,2,2.5
david osborne,2,2.5
david watkins,2,0
deborah guarino,2,5
dennis fairchild,2,3.75
dennis tedlock,2,4
diana athill,3,1
donna d. cooner,3,0
editors of rolling stone,2,8.5
elaine palmer,2,7.5
elaine scott,4,1.75
eldridge cleaver,2,2.25
elliott leyton,5,4.8
eric laurent,2,0
eric schlosser,6,4.04
fiona patton,4,1.4
fran earley,2,0
frances fitzgerald,5,2.4
frederic brussat,2,1.25
gayle brandeis,2,4.47
gerdt von bassewitz,2,5
gordon d. fee,2,3.5
heather robertson,2,0
helen van slyke,6,2.67
henri j.m. nouwen,2,2.83
"henry, dr. cloud",2,4.11
hilde bruch,3,4
howard olgin,3,0
idries shah,15,5.87
ignacio martã­nez de pisã³n,3,7
irene kassorla,3,0.53
ivan sergeevich turgenev,12,1.8
jaime manrique,3,3.5
james duffy,2,0
jane rule,10,2.39
janet c. lowe,2,2.67
jay michael strangis,2,6.67
jean cocteau,10,1.33
jeanne carbonetti,3,5.67
jeff taylor,2,4
jeff webb,3,1.67
jenna mcknight,10,3.24
jennifer roberson,35,3.97
jerry biederman,4,3.75
jim eldridge,2,3.63
jim hightower,7,3.47
john bull,2,6.17
john cunyus hodges,4,7.88
john de lancie,4,3.84
john f. michell,2,6.25
john pimlott,2,2.5
jonathan kirsch,4,4.46
jordi mata,3,5
julian fellowes,2,2
jã?â´ soares,2,6.5
karel capek,6,2.78
krzysztof dydynski,4,5.25
l'amour,2,3.5
laura geringer,2,0
lauren slater,7,4.31
laurie steding,2,0
leisure arts,27,3.14
leland l. beck,2,0
lesley gilbert,2,2.5
leslie meier,19,2.39
lindsay porter,2,6.5
lisa st. aubin de teran,8,0.64
lori marie carlson,3,2
louis chunovic,3,5.2
madeleine l'engle,66,3.08
manuel j. smith,3,4.3
margaret drabble,33,2.32
maria angels julivert,2,3
maria quirk walsh,2,0
mark urban,2,2.25
marvin albert,2,0
mary lou rich,3,2.39
mary ruth myers,2,0
mel odom,40,3.06
michael green,12,4.43
michael j. rosen,8,4.22
michael teitelbaum,53,1.49
mike fox,2,0
modris eksteins,2,6.5
molly bang,8,3.63
nancy weber,2,0
nick merriman,2,4
nigel blundell,7,2
nomi eve,3,2.8
peg kehret,23,2.31
penny black,3,6.67
peter ashley,2,4
rebecca wade,3,0
regina leeds,2,2
richard dooling,11,2.05
rita dove,6,3.29
rob kean,3,3.37
robert c. sloane,2,2
robert d. san souci,17,3.41
robert pirsig,4,4.86
robert stuart nathan,2,3
robin lee hatcher,37,1.79
samuel c. florman,2,4
sandi kahn shelton,4,5.88
sandra landry,2,3.75
sandra madden,2,4
sandy boucher,4,4.69
sara george,3,1.67
sarah woodhouse,6,0
simon carmiggelt,2,2
stephen r. covey,23,2.14
sue phillips,2,8
susan bowes,3,3.27
susan howatch,35,1.67
susan mallery,59,2.26
"susan, ph.d. jeffers",3,2.67
suzanne berne,4,2.63
suzanne robinson,12,1.78
t. greenwood,4,2.15
ted gouge,2,0
thomas f. monteleone,10,1.45
tom robbins,35,3.85
tony kornheiser,3,2.22
trisha malcolm,5,6.93
valerie marsh,2,1.75
william christie,2,4.5
william l. shirer,8,1.8
william m. gaines,3,2
william mason,2,0
william styron,19,1.75
winifred madison,3,0
sam donaldson,3,1.94
aaron mcgruder,2,5.4
abraham joshua heschel,2,0
andy rector,6,0.83
angela shelf medearis,12,1.06
ann bell,2,0.8
beardstown ladies investment club,4,0.84
benjamin von stuckrad-barre,6,2.47
brian gallagher,3,0.91
carla sinclair,2,8.08
carolyn sherwin bailey,3,4.83
cas clarke,2,3.5
charles fort,3,3.11
charles gordon,3,2.33
charles neider,4,1.08
charles wilkins,2,0
charles yale harrison,2,8.5
chet raymo,5,4.67
christina feldman,2,5
christopher frayling,3,5.5
connie bennett,11,0.81
craig thomas,34,1.74
culinary arts institute,2,7
david cannadine,3,1.67
david j. skal,5,3.6
delano ames,2,2.5
diane schoemperlen,9,1.26
disney studios,3,3.03
douglas kennedy,13,3.23
edward d. johnson,2,0
eileen holland,2,2.05
eleanor porter,4,4.65
elizabeth daly,14,3.96
else ury,4,0
emma bennett,2,0
evan maxwell,4,3.64
evelyn tribole,3,0
first glance books,5,1.2
fowler,2,3.67
friedrich durrenmatt,6,1.63
george laycock,2,4.5
gerd haffmans,2,1.5
gerhard richter,2,4
gordon b. hinckley,2,5
greer underwood,2,0
harold courlander,5,4.47
hester mundis,2,4
hugh lofting,14,1.37
ilene cooper,3,0
j. v. jones,13,3.23
james grippando,17,2.28
james reasoner,5,1.6
jean greenhowe,3,2.83
jean stein,2,6
jefferson swycaffer,2,6.25
jennie nash,4,4.38
jeremy narby,3,2.67
jerry g. walls,2,4
jill murphy,15,3.89
jim becker,3,6.5
joan dahr lambert,3,4.49
john allen,2,0
john barrow,2,3.75
john gross,3,9
john heminway,2,4
john hogue,4,6
john kenneth galbraith,12,2.33
john r feegel,2,0
john treadwell nichols,7,2.55
joseph e. persico,4,0.58
josie litton,8,2.86
junior league,2,2.5
karen hawkins,8,2.15
kate jacoby,2,0
kate jenkins,2,0
kate waters,5,5
l. a garcã­a-roza,2,1.75
l. b. cowman,2,2.5
laurie brown,2,2
leroy thompson,3,6
liz brady,2,1.67
luis valdez,3,5.11
lynn mason,4,2.87
lynn reiser,3,1.5
maggie de vries,2,0
maggie lyons,2,2.5
malcolm lowry,3,4.33
mandalyn kaye,5,1.36
marc jaffe,2,2.5
marcie hershman,2,1.5
margaret kennedy,2,5.17
mari winsor,2,5.67
maria claret,2,0
mark a. garland,2,1.17
"mark, phd chamberlain",2,0
maryanne raphael,3,3.33
matt wagner,4,8
maxine trottier,2,9
michael heatley,2,6
michael l. dertouzos,2,5
michael marshall smith,6,4.78
mulk raj anand,2,0
nanci kincaid,4,1
neil blackmore,2,0
nicola marsh,2,0
nina antonia,2,1.33
olivia goldsmith,36,2.02
p.c. doherty,2,1.5
patricia aburdene,2,0.5
patrick mcgrath,14,2.76
patti berg,12,1.84
paul chadwick,2,5
paula boock,3,6.67
peter canning,2,0
philippa wingate,2,0
phyllis richman,5,2.35
poul anderson,99,2.24
r. chetwynd-hayes,3,3.67
ralph keyes,5,9.2
randy wayne white,17,3.23
raymond queneau,10,4.33
richard scarry,97,2.13
richard stark,10,3.95
robert e scholes,2,3.25
robert friedhoffer,2,0
robert j. sternberg,3,8
robert m. eversz,3,4.11
roger grenier,2,3.5
rosalie ash,4,1.94
ruth fox,2,0.5
ruth hamilton,10,1.17
sharon lerner,2,2.5
sile rice,2,5
sol gordon,6,2.72
sten nadolny,10,3.18
steve metzger,10,2.34
stuart swezey,2,5
susan blake,10,1
suzanne forster,21,1.55
teresa carpenter,6,0.77
terry sullivan,3,4.67
tim coates,2,2.5
tom fassbender,2,10
tom segev,5,2.8
tony fletcher,2,6.5
tovah martin,2,8.5
tristan howard,4,1.25
wallace thurman,2,1.75
whoopi goldberg,4,2.66
william buck,2,3.25
wolfgang amadeus mozart,4,6.5
yann arthus-bertrand,6,6.33
zev chafets,2,4
zhuge liang,2,8.5
ai yazawa,5,5.9
alexandra ripley,22,2.11
american psychological association,4,4.17
ann morrow,2,0
annegrit arens,6,1.83
ari l. goldman,2,8
barry eisler,5,4.59
betty rollin,6,1.42
buchi emecheta,9,3.07
candice proctor,7,2.42
carol matas,12,1.17
carole giangrande,2,2.25
carolyn haywood,15,0.66
carolyn mcsparren,11,3.12
cathy scott-clark,2,2.5
cheryl reavis,14,1.23
d.h. lawrence,28,2.73
david henry hwang,4,3.69
david j. howe,3,3
deborah moggach,12,3.4
dede hall,4,1.75
denise a. agnew,2,9.5
denise chong,7,2.25
derek raymond,4,4.25
detection club,2,7.5
dina glouberman,2,0
dion fortune,12,4.17
donald j. wheeler,2,0
donald shepherd,2,1
donald tyson,8,5.33
dorsey fiske,4,3.25
elaine feinstein,3,2.58
elizabeth pepper,3,4.61
ellis peters,100,2.79
emilie baker loring,2,1.75
eric flint,13,6.13
eric thompson,3,1.73
erika holzer,2,0
esther freud,12,1.96
eva schloss,2,4
evonne weinhaus,3,2.67
francis john thornton,2,0.75
fredrick d. huebner,3,0.74
g. c gupta,2,5
gail vinall,2,0
galen grimes,3,5.33
gary phillips,5,0.33
gerald clarke,4,4
grass,2,3
gwen westwood,3,0
h. beam piper,11,4.12
hampton charles,3,0.75
harold l. klawans,4,4.5
herman pieter de boer,2,0
holly jacobs,10,2.79
huw price,2,4
j. c. suares,3,7.67
j. calvin pierce,2,0
james w. hall,20,1.39
janisse ray,3,1.83
jay leibold,12,1.87
jennifer austin,2,0
jennifer mulherin,2,2
jenny diski,5,1.6
jim case,2,0
joan walsh anglund,11,2.32
john f. craghan,2,10
john guaspari,3,2.33
john p. trowbridge,2,3.5
juliet bawden,3,8
june brown,2,3
kate andrews,3,0
kate william,52,0.78
katharine weber,5,1.55
kathrine kressmann taylor,2,6.65
kaye dobkin,2,4
ken bruen,6,4.11
kris radish,3,2.49
l.j. smith,16,4.8
lass small,10,1.03
laurence schorsch,2,2
lesley glaister,10,4.08
lois gilbert,2,0
lucinda ebersole,2,4.56
maksim gor'kii,2,1.75
maria gronau,2,4
marjorie klein,2,4.21
mark richards,2,10
martin duberman,2,2.5
mary e. pearson,3,5.83
mary gordon,16,1.5
maureen lipman,5,4.8
melissa macneal,2,0.75
merebeth switzer,3,0
michael french,4,1.25
michael korda,20,2.57
mike celizic,2,4.5
miriam borgenicht,5,0
nancy a. collins,12,3.66
nancy davis,21,0.84
narinder dhami,3,0.67
natalie jane prior,3,0
neil ravin,5,0.5
nelson nye,4,1.25
nicholas abercrombie,2,7.5
norma lee clark,6,2.33
norman rockwell,7,4.71
not available,9,5.11
otto von frisch,2,2.25
patricia lanza,3,1.5
paul kunkel,2,1.13
paul r. linde,2,5
peggy anderson,7,2.77
peggy post,3,6.5
peter andrews,3,2.67
phillip margolin,16,3.06
pia pera,3,3.5
ralph e. warner,2,0
rand mcnally,13,3.54
richard barth,10,1.35
richard dansky,3,8.33
robert greenberger,4,2.15
robert thornton,2,0
robert w. broomall,2,0
robin norwood,9,2.57
ron franscell,3,3.39
ruthanne lum mccunn,8,3.9
s p. somtow,2,1.6
samantha chase,2,2.5
sandra dallas,10,3.41
sheila macgill-callahan,2,4
